Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/28/2023,03/01/2023,THE FRISCO BAR &amp; GRILL,Food & Drink,Sale,-36.88,
02/27/2023,02/28/2023,ANGELINAS RESTAURANT,Food & Drink,Sale,-37.92,
02/26/2023,02/27/2023,SQ *UPPER LEFT ROASTERS,Food & Drink,Sale,-5.25,
02/26/2023,02/27/2023,BAR WEST,Food & Drink,Sale,-40.00,
02/26/2023,02/27/2023,SQ *UPPER LEFT ROASTERS,Food & Drink,Sale,-21.30,
02/25/2023,02/27/2023,ARCO#83189GURU NANAK 13,Gas,Sale,-42.81,
02/23/2023,02/26/2023,SAINT HONORE BOULANGERIE,Food & Drink,Sale,-12.60,
02/24/2023,02/26/2023,SQ *BARISTA,Food & Drink,Sale,-15.25,
02/25/2023,02/26/2023,SQ *BARISTA,Food & Drink,Sale,-12.90,
02/23/2023,02/26/2023,TST* The Fireside,Food & Drink,Sale,-35.00,
02/23/2023,02/24/2023,SQ *THE DRAGONFLY COFFEE,Food & Drink,Sale,-7.25,
02/21/2023,02/22/2023,TRADER JOE'S #146  QPS,Groceries,Sale,-84.35,
