Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/24/2022,10/25/2022,SQ *SWEET SEDUCTIONS,Food & Drink,Sale,-5.30,
10/24/2022,10/24/2022,COMCAST CABLE COMM,Bills & Utilities,Sale,-72.00,
10/23/2022,10/24/2022,SQ *BARISTA,Food & Drink,Sale,-12.65,
10/23/2022,10/24/2022,SQ *BARISTA,Food & Drink,Sale,-4.50,
10/22/2022,10/23/2022,SQ *COAVA COFFEE ROASTERS,Food & Drink,Sale,-12.00,
10/21/2022,10/23/2022,SQ *FARMER AND THE BEAST,Food & Drink,Sale,-10.80,
10/21/2022,10/23/2022,SQ *THE POUR HOUSE  LLC,Food & Drink,Sale,-9.00,
10/22/2022,10/23/2022,TST* Pizza Thief,Food & Drink,Sale,-34.00,
10/21/2022,10/23/2022,365 MARKET  888 432-3299,Food & Drink,Sale,-6.78,
10/22/2022,10/23/2022,SQ *COAVA COFFEE ROASTERS,Food & Drink,Sale,-4.50,
10/22/2022,10/23/2022,TRADER JOE'S #146  QPS,Groceries,Sale,-15.54,
10/22/2022,10/23/2022,TST* Pizza Thief,Food & Drink,Sale,-6.75,
10/18/2022,10/19/2022,TRADER JOE'S #146  QPS,Groceries,Sale,-48.64,
10/17/2022,10/17/2022,AUTOMATIC PAYMENT - THANK,,Payment,973.08,
10/16/2022,10/17/2022,SQ *STERLING COFFEE,Food & Drink,Sale,-11.40,
10/16/2022,10/17/2022,BING MI,Food & Drink,Sale,-9.60,
10/14/2022,10/17/2022,SLIM'S RESTAURANT &amp; LOU,Food & Drink,Sale,-7.50,
10/16/2022,10/17/2022,SQ *THE POUR HOUSE  LLC,Food & Drink,Sale,-9.00,
10/15/2022,10/16/2022,SQ *CASCADIA COFFEE PUB,Food & Drink,Sale,-14.00,
10/15/2022,10/16/2022,TST* Rotigo,Food & Drink,Sale,-77.50,
10/15/2022,10/16/2022,SQ *CASCADIA COFFEE PUB,Food & Drink,Sale,-4.00,
10/10/2022,10/11/2022,TRADER JOE'S #146  QPS,Groceries,Sale,-47.81,
10/09/2022,10/10/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,275.18,
10/09/2022,10/10/2022,SQ *CASCADIA COFFEE PUB,Food & Drink,Sale,-11.00,
10/09/2022,10/10/2022,SQ *CLEARING CAFE,Food & Drink,Sale,-4.00,
10/07/2022,10/09/2022,SQ *HAMMER &amp; STITCH BREWI,Food & Drink,Sale,-9.38,
10/07/2022,10/09/2022,TRADER JOE'S #146  QPS,Groceries,Sale,-1.50,
10/08/2022,10/09/2022,TRADER JOE'S #146  QPS,Groceries,Sale,-35.19,
10/08/2022,10/09/2022,PAYMASTER LOUNGE,Food & Drink,Sale,-20.00,
10/08/2022,10/09/2022,SQ *BARISTA,Food & Drink,Sale,-16.39,
10/08/2022,10/09/2022,PAYMASTER LOUNGE,Food & Drink,Sale,-19.50,
10/06/2022,10/07/2022,SQ *SWEET SEDUCTIONS,Food & Drink,Sale,-5.30,
10/05/2022,10/06/2022,365 GMA OTI DB 2,Food & Drink,Sale,-2.25,
10/03/2022,10/04/2022,SLO Cafe,Food & Drink,Sale,-12.80,
10/03/2022,10/04/2022,SLO Cafe,Food & Drink,Sale,-11.80,
10/02/2022,10/03/2022,TRADER JOE'S #146  QPS,Groceries,Sale,-56.16,
10/01/2022,10/02/2022,CAFE ANDREINI,Food & Drink,Sale,-12.25,
09/29/2022,10/02/2022,MANZANA LAKE OSWEGO,Food & Drink,Sale,-23.00,
10/01/2022,10/02/2022,CAYUCOS GAS &amp; MINI MART,Gas,Sale,-5.53,
10/01/2022,10/02/2022,HENRY'S TAVERN - PORTL,Food & Drink,Sale,-13.50,
