Transaction Number,Date,Description,Memo,Amount Debit,Amount Credit,Balance,Check Number,Fees  
"20221110000000[-8:PST]*1642.91*501**TOYOTA MOTOR SAL PAYROLL 568349-TMN",11/10/2022,"TOYOTA MOTOR SAL PAYROLL 568349-TMN","",,1642.91,"7058.46",,0.00
"20221110000000[-8:PST]*100.00*501**TOYOTA MOTOR SAL PAYROLL 568349-TMN",11/10/2022,"TOYOTA MOTOR SAL PAYROLL 568349-TMN","",,100.00,"5415.55",,0.00
"20221102000000[-8:PST]*-1630.00*0**KBC Management, WEB PMTS N403N6",11/02/2022,"KBC Management, WEB PMTS N403N6","",-1630.00,,"5315.55",,0.00
"20221101000000[-8:PST]*-6.11*0**APPLECARD GSBANK PAYMENT 2211736",11/01/2022,"APPLECARD GSBANK PAYMENT 2211736","",-6.11,,"6945.55",,0.00
"20221031000000[-8:PST]*-1413.56*0**CHASE CREDIT CRD AUTOPAY 000000000481963",10/31/2022,"CHASE CREDIT CRD AUTOPAY 000000000481963","",-1413.56,,"6951.66",,0.00
"20221028000000[-8:PST]*1642.90*501**TOYOTA MOTOR SAL PAYROLL 568349-TMN",10/28/2022,"TOYOTA MOTOR SAL PAYROLL 568349-TMN","",,1642.90,"8365.22",,0.00
"20221026000000[-8:PST]*-20.00*0**WELLS FARGO IFI DDA TO DDA F20GQJDBW4",10/26/2022,"WELLS FARGO IFI DDA TO DDA F20GQJDBW4","",-20.00,,"6722.32",,0.00
"20221019000000[-8:PST]*-168.00*1*351*Check",10/19/2022,"Check","",-168.00,,"6742.32",351,0.00
"20221019000000[-8:PST]*-88.39*0**US TREASURY IRS PAYMENT 0350",10/19/2022,"US TREASURY IRS PAYMENT 0350","",-88.39,,"6910.32",,0.00
"20221018000000[-8:PST]*-973.08*0**CHASE CREDIT CRD AUTOPAY 000000000279071",10/18/2022,"CHASE CREDIT CRD AUTOPAY 000000000279071","",-973.08,,"6998.71",,0.00
"20221018000000[-8:PST]*372.14*501**Barclays Bank De P2P Vega,William",10/18/2022,"Barclays Bank De P2P Vega,William","",,372.14,"7971.79",,0.00
"20221017000000[-8:PST]*-79.50*0**VENMO PAYMENT 1022930212980",10/17/2022,"VENMO PAYMENT 1022930212980","",-79.50,,"7599.65",,0.00
"20221017000000[-8:PST]*-57.00*0**VENMO PAYMENT 1022930215113",10/17/2022,"VENMO PAYMENT 1022930215113","",-57.00,,"7679.15",,0.00
"20221014000000[-8:PST]*1743.83*501**TOYOTA MOTOR SAL PAYROLL 568349-TMN",10/14/2022,"TOYOTA MOTOR SAL PAYROLL 568349-TMN","",,1743.83,"7736.15",,0.00
